teacher_condition,block_condition,condition_index,condition_count_index,human_play_reward_1,human_play_reward_2,human_play_reward_3,model_play_reward_1,model_play_reward_2,model_play_reward_3,method,trial
novice,watch play play,1,1,11.0,11.0,,18,23,,Thompson-Naive,65403100f465bc9343e271d5
novice,watch play play,1,1,11.0,11.0,,13,13,,Thompson-Predict,65403100f465bc9343e271d5
novice,play watch play,1,1,8.0,12.0,,10.0,16.0,,Thompson-Lesion,5dbf704fa3f5cb40876271fc
novice,play watch play,1,1,8.0,12.0,,10.0,17.0,,Thompson-Naive,5dbf704fa3f5cb40876271fc
novice,play watch play,1,1,8.0,12.0,,10.0,18.0,,Thompson-Predict,5dbf704fa3f5cb40876271fc
expert,watch play play,1,1,21.0,21.0,,17,18,,Thompson-Lesion,627986ad0b4e17430bd23d80
expert,watch play play,1,1,21.0,21.0,,11,17,,Thompson-Naive,627986ad0b4e17430bd23d80
expert,watch play play,1,1,21.0,21.0,,16,19,,Thompson-Predict,627986ad0b4e17430bd23d80
novice,watch play play,1,1,19.0,22.0,,14,16,,Thompson-Lesion,60fe0460e678d2576844fe5e
novice,watch play play,1,1,19.0,22.0,,15,21,,Thompson-Naive,60fe0460e678d2576844fe5e
novice,watch play play,1,1,19.0,22.0,,15,18,,Thompson-Predict,60fe0460e678d2576844fe5e
novice,watch play play,0,0,12.0,14.0,,15,15,,Thompson-Lesion,65403100f465bc9343e271d5
novice,watch play play,0,0,12.0,14.0,,17,23,,Thompson-Naive,65403100f465bc9343e271d5
novice,watch play play,0,0,12.0,14.0,,14,11,,Thompson-Predict,65403100f465bc9343e271d5
expert,watch play play,1,1,22.0,22.0,,17,14,,Thompson-Lesion,60ff346f3f035109a4a49a5c
expert,watch play play,1,1,22.0,22.0,,15,21,,Thompson-Naive,60ff346f3f035109a4a49a5c
expert,watch play play,1,1,22.0,22.0,,20,21,,Thompson-Predict,60ff346f3f035109a4a49a5c
no teacher,play play play,2,1,14.0,18.0,11.0,9.0,14.0,20.0,Thompson-Lesion,652fe7c2b91e23646d72a1e6
no teacher,play play play,2,1,14.0,18.0,11.0,10.0,13.0,17.0,Thompson-Naive,652fe7c2b91e23646d72a1e6
no teacher,play play play,2,1,14.0,18.0,11.0,6.0,21.0,20.0,Thompson-Predict,652fe7c2b91e23646d72a1e6
expert,watch play play,0,0,17.0,15.0,,12,18,,Thompson-Lesion,602ed67d9dc535b2bb39efbc
expert,watch play play,0,0,17.0,15.0,,12,21,,Thompson-Naive,602ed67d9dc535b2bb39efbc
expert,watch play play,0,0,17.0,15.0,,18,22,,Thompson-Predict,602ed67d9dc535b2bb39efbc
novice,watch play play,1,1,18.0,13.0,,13,14,,Thompson-Lesion,65ae75ddcc163b8e8b23d45b
novice,watch play play,1,1,18.0,13.0,,12,12,,Thompson-Naive,65ae75ddcc163b8e8b23d45b
novice,watch play play,1,1,18.0,13.0,,14,14,,Thompson-Predict,65ae75ddcc163b8e8b23d45b
expert,watch play play,0,0,21.0,19.0,,21,20,,Thompson-Lesion,631615e2e62254d0d63d1ab0
expert,watch play play,0,0,21.0,19.0,,12,17,,Thompson-Naive,631615e2e62254d0d63d1ab0
expert,watch play play,0,0,21.0,19.0,,19,19,,Thompson-Predict,631615e2e62254d0d63d1ab0
no teacher,play play play,3,1,17.0,22.0,21.0,8.0,10.0,5.0,Thompson-Lesion,589d0c07d6a2220001178695
no teacher,play play play,3,1,17.0,22.0,21.0,11.0,14.0,12.0,Thompson-Naive,589d0c07d6a2220001178695
no teacher,play play play,3,1,17.0,22.0,21.0,9.0,11.0,17.0,Thompson-Predict,589d0c07d6a2220001178695
no teacher,play play play,4,0,11.0,12.0,10.0,11.0,16.0,13.0,Thompson-Lesion,655f8305b777e4c757101337
no teacher,play play play,4,0,11.0,12.0,10.0,14.0,10.0,18.0,Thompson-Naive,655f8305b777e4c757101337
no teacher,play play play,4,0,11.0,12.0,10.0,14.0,13.0,15.0,Thompson-Predict,655f8305b777e4c757101337
novice,watch play play,1,1,16.0,10.0,,13,16,,Thompson-Lesion,63ea7487c993eddd00c8ab47
novice,watch play play,1,1,16.0,10.0,,9,9,,Thompson-Naive,63ea7487c993eddd00c8ab47
novice,watch play play,1,1,16.0,10.0,,18,16,,Thompson-Predict,63ea7487c993eddd00c8ab47
no teacher,play play play,1,0,11.0,15.0,14.0,12.0,13.0,16.0,Thompson-Lesion,6519b6951e9a19f4b3d6f545
no teacher,play play play,1,0,11.0,15.0,14.0,9.0,22.0,23.0,Thompson-Naive,6519b6951e9a19f4b3d6f545
no teacher,play play play,1,0,11.0,15.0,14.0,10.0,18.0,23.0,Thompson-Predict,6519b6951e9a19f4b3d6f545
novice,play watch play,1,1,12.0,22.0,,16.0,11.0,,Thompson-Lesion,5e1d70edd727e90dea42d137
novice,play watch play,1,1,12.0,22.0,,10.0,16.0,,Thompson-Naive,5e1d70edd727e90dea42d137
novice,play watch play,1,1,12.0,22.0,,13.0,13.0,,Thompson-Predict,5e1d70edd727e90dea42d137
novice,watch play play,1,1,15.0,12.0,,11,13,,Thompson-Lesion,628f0d7e3055b5d1887916c5
novice,watch play play,1,1,15.0,12.0,,21,13,,Thompson-Naive,628f0d7e3055b5d1887916c5
novice,watch play play,1,1,15.0,12.0,,10,18,,Thompson-Predict,628f0d7e3055b5d1887916c5
expert,watch play play,1,1,19.0,18.0,,17,18,,Thompson-Lesion,5ac6e74f9534ba0001c756d5
expert,watch play play,1,1,19.0,18.0,,16,18,,Thompson-Naive,5ac6e74f9534ba0001c756d5
expert,watch play play,1,1,19.0,18.0,,19,18,,Thompson-Predict,5ac6e74f9534ba0001c756d5
novice,play watch play,0,0,8.0,15.0,,14.0,20.0,,Thompson-Lesion,615b613de1aeca77a48c4125
novice,play watch play,0,0,8.0,15.0,,13.0,21.0,,Thompson-Naive,615b613de1aeca77a48c4125
novice,play watch play,0,0,8.0,15.0,,11.0,10.0,,Thompson-Predict,615b613de1aeca77a48c4125
expert,play watch play,0,0,6.0,23.0,,12.0,23.0,,Thompson-Lesion,650868d5afd62c7980c24f67
expert,play watch play,0,0,6.0,23.0,,13.0,15.0,,Thompson-Naive,650868d5afd62c7980c24f67
expert,play watch play,0,0,6.0,23.0,,13.0,21.0,,Thompson-Predict,650868d5afd62c7980c24f67
novice,watch play play,1,1,14.0,11.0,,15,11,,Thompson-Lesion,5efe46699aca1b332ff927bc
novice,watch play play,1,1,14.0,11.0,,19,12,,Thompson-Naive,5efe46699aca1b332ff927bc
novice,watch play play,1,1,14.0,11.0,,11,11,,Thompson-Predict,5efe46699aca1b332ff927bc
novice,watch play play,0,0,13.0,10.0,,7,12,,Thompson-Lesion,5df416a57bf5722f9a501255
novice,watch play play,0,0,13.0,10.0,,13,20,,Thompson-Naive,5df416a57bf5722f9a501255
novice,watch play play,0,0,13.0,10.0,,12,15,,Thompson-Predict,5df416a57bf5722f9a501255
expert,play watch play,1,1,10.0,10.0,,14.0,12.0,,Thompson-Lesion,5d0e6b201b7ef6001a6346fc
expert,play watch play,1,1,10.0,10.0,,14.0,17.0,,Thompson-Naive,5d0e6b201b7ef6001a6346fc
expert,play watch play,1,1,10.0,10.0,,10.0,19.0,,Thompson-Predict,5d0e6b201b7ef6001a6346fc
expert,watch play play,1,1,11.0,10.0,,15,16,,Thompson-Lesion,65aed2821502ba3ac8b601c7
expert,watch play play,1,1,11.0,10.0,,11,11,,Thompson-Naive,65aed2821502ba3ac8b601c7
expert,watch play play,1,1,11.0,10.0,,16,17,,Thompson-Predict,65aed2821502ba3ac8b601c7
expert,watch play play,1,1,22.0,17.0,,21,20,,Thompson-Lesion,605e6f4f35800996a22ac0ab
expert,watch play play,1,1,22.0,17.0,,13,21,,Thompson-Naive,605e6f4f35800996a22ac0ab
expert,watch play play,1,1,22.0,17.0,,20,20,,Thompson-Predict,605e6f4f35800996a22ac0ab
novice,watch play play,1,1,13.0,11.0,,14,8,,Thompson-Lesion,577d11f88b3e2300016d74a0
novice,watch play play,1,1,13.0,11.0,,10,8,,Thompson-Naive,577d11f88b3e2300016d74a0
novice,watch play play,1,1,13.0,11.0,,13,9,,Thompson-Predict,577d11f88b3e2300016d74a0
novice,watch play play,0,0,23.0,20.0,,11,14,,Thompson-Lesion,60fe09e20ce118843ca6bcd0
novice,watch play play,0,0,23.0,20.0,,19,15,,Thompson-Naive,60fe09e20ce118843ca6bcd0
novice,watch play play,0,0,23.0,20.0,,10,17,,Thompson-Predict,60fe09e20ce118843ca6bcd0
novice,play watch play,0,0,19.0,21.0,,13.0,18.0,,Thompson-Lesion,5d8d12f6d88e3a00142c9751
novice,play watch play,0,0,19.0,21.0,,11.0,19.0,,Thompson-Naive,5d8d12f6d88e3a00142c9751
novice,play watch play,0,0,19.0,21.0,,12.0,17.0,,Thompson-Predict,5d8d12f6d88e3a00142c9751
novice,watch play play,0,0,15.0,20.0,,13,10,,Thompson-Lesion,5a2adf6a8e00a000019864fb
novice,watch play play,0,0,15.0,20.0,,18,17,,Thompson-Naive,5a2adf6a8e00a000019864fb
novice,watch play play,0,0,15.0,20.0,,15,15,,Thompson-Predict,5a2adf6a8e00a000019864fb
novice,play watch play,0,0,13.0,18.0,,13.0,12.0,,Thompson-Lesion,5de33ff0cc246f3633dc01d2
novice,play watch play,0,0,13.0,18.0,,8.0,11.0,,Thompson-Naive,5de33ff0cc246f3633dc01d2
novice,play watch play,0,0,13.0,18.0,,5.0,12.0,,Thompson-Predict,5de33ff0cc246f3633dc01d2
expert,play watch play,0,0,23.0,21.0,,14.0,20.0,,Thompson-Lesion,5be4c8d0d4079000014c0998
expert,play watch play,0,0,23.0,21.0,,15.0,9.0,,Thompson-Naive,5be4c8d0d4079000014c0998
expert,play watch play,0,0,23.0,21.0,,13.0,21.0,,Thompson-Predict,5be4c8d0d4079000014c0998
novice,play watch play,1,1,5.0,10.0,,11.0,15.0,,Thompson-Lesion,5781c15381f331000139a89e
novice,play watch play,1,1,5.0,10.0,,7.0,18.0,,Thompson-Naive,5781c15381f331000139a89e
novice,play watch play,1,1,5.0,10.0,,12.0,14.0,,Thompson-Predict,5781c15381f331000139a89e
expert,play watch play,0,0,13.0,12.0,,11.0,19.0,,Thompson-Lesion,63ea7487c993eddd00c8ab47
expert,play watch play,0,0,13.0,12.0,,13.0,19.0,,Thompson-Naive,63ea7487c993eddd00c8ab47
expert,play watch play,0,0,13.0,12.0,,15.0,14.0,,Thompson-Predict,63ea7487c993eddd00c8ab47
no teacher,play play play,3,0,11.0,14.0,12.0,17.0,15.0,19.0,Thompson-Lesion,5c48189592909000016862e7
no teacher,play play play,3,0,11.0,14.0,12.0,10.0,11.0,12.0,Thompson-Naive,5c48189592909000016862e7
no teacher,play play play,3,0,11.0,14.0,12.0,10.0,13.0,11.0,Thompson-Predict,5c48189592909000016862e7
no teacher,play play play,0,0,14.0,8.0,7.0,10.0,12.0,9.0,Thompson-Lesion,5de33ff0cc246f3633dc01d2
no teacher,play play play,0,0,14.0,8.0,7.0,12.0,14.0,20.0,Thompson-Naive,5de33ff0cc246f3633dc01d2
no teacher,play play play,0,0,14.0,8.0,7.0,8.0,16.0,13.0,Thompson-Predict,5de33ff0cc246f3633dc01d2
novice,play watch play,1,1,16.0,20.0,,15.0,10.0,,Thompson-Lesion,5d092069fb1a540001dd5028
novice,play watch play,1,1,16.0,20.0,,12.0,13.0,,Thompson-Naive,5d092069fb1a540001dd5028
novice,play watch play,1,1,16.0,20.0,,10.0,8.0,,Thompson-Predict,5d092069fb1a540001dd5028
novice,play watch play,0,0,13.0,11.0,,10.0,15.0,,Thompson-Lesion,5c35ad4bdb7cf60001204af9
novice,play watch play,0,0,13.0,11.0,,12.0,16.0,,Thompson-Naive,5c35ad4bdb7cf60001204af9
novice,play watch play,0,0,13.0,11.0,,9.0,14.0,,Thompson-Predict,5c35ad4bdb7cf60001204af9
expert,watch play play,0,0,18.0,21.0,,13,13,,Thompson-Lesion,5c4353086ce36f0001205f65
expert,watch play play,0,0,18.0,21.0,,12,18,,Thompson-Naive,5c4353086ce36f0001205f65
expert,watch play play,0,0,18.0,21.0,,13,16,,Thompson-Predict,5c4353086ce36f0001205f65
expert,watch play play,1,1,21.0,21.0,,20,23,,Thompson-Lesion,5e8cf43fbf65bf0bdfe15296
expert,watch play play,1,1,21.0,21.0,,11,17,,Thompson-Naive,5e8cf43fbf65bf0bdfe15296
expert,watch play play,1,1,21.0,21.0,,18,20,,Thompson-Predict,5e8cf43fbf65bf0bdfe15296
no teacher,play play play,1,0,13.0,20.0,22.0,15.0,16.0,13.0,Thompson-Lesion,61412d50c1d83f94e448c0f3
no teacher,play play play,1,0,13.0,20.0,22.0,16.0,13.0,19.0,Thompson-Naive,61412d50c1d83f94e448c0f3
no teacher,play play play,1,0,13.0,20.0,22.0,7.0,16.0,13.0,Thompson-Predict,61412d50c1d83f94e448c0f3
novice,watch play play,0,0,13.0,12.0,,13,17,,Thompson-Lesion,60f2a2b4932fed5326988e0f
novice,watch play play,0,0,13.0,12.0,,11,9,,Thompson-Naive,60f2a2b4932fed5326988e0f
novice,watch play play,0,0,13.0,12.0,,14,18,,Thompson-Predict,60f2a2b4932fed5326988e0f
novice,play watch play,1,1,22.0,5.0,,15.0,15.0,,Thompson-Lesion,658e66f34a68a13ce2c6ab37
novice,play watch play,1,1,22.0,5.0,,9.0,17.0,,Thompson-Naive,658e66f34a68a13ce2c6ab37
novice,play watch play,1,1,22.0,5.0,,11.0,15.0,,Thompson-Predict,658e66f34a68a13ce2c6ab37
novice,watch play play,1,1,9.0,14.0,,11,17,,Thompson-Lesion,62b1ed31eaaaa61b18c69032
novice,watch play play,1,1,9.0,14.0,,10,18,,Thompson-Naive,62b1ed31eaaaa61b18c69032
novice,watch play play,1,1,9.0,14.0,,12,13,,Thompson-Predict,62b1ed31eaaaa61b18c69032
expert,watch play play,1,1,16.0,21.0,,16,20,,Thompson-Lesion,5635d988dc62e5000bcb3eb2
expert,watch play play,1,1,16.0,21.0,,13,21,,Thompson-Naive,5635d988dc62e5000bcb3eb2
expert,watch play play,1,1,16.0,21.0,,17,19,,Thompson-Predict,5635d988dc62e5000bcb3eb2
novice,watch play play,0,0,17.0,20.0,,14,15,,Thompson-Lesion,61412d50c1d83f94e448c0f3
novice,watch play play,0,0,17.0,20.0,,15,14,,Thompson-Naive,61412d50c1d83f94e448c0f3
novice,watch play play,0,0,17.0,20.0,,15,19,,Thompson-Predict,61412d50c1d83f94e448c0f3
expert,watch play play,1,1,20.0,17.0,,15,20,,Thompson-Lesion,59c3289b8e6ea10001f7b926
expert,watch play play,1,1,20.0,17.0,,16,17,,Thompson-Naive,59c3289b8e6ea10001f7b926
expert,watch play play,1,1,20.0,17.0,,16,15,,Thompson-Predict,59c3289b8e6ea10001f7b926
expert,watch play play,1,1,11.0,18.0,,16,14,,Thompson-Lesion,5b8557d0bb0eb8000105a696
expert,watch play play,1,1,11.0,18.0,,13,16,,Thompson-Naive,5b8557d0bb0eb8000105a696
expert,watch play play,1,1,11.0,18.0,,14,19,,Thompson-Predict,5b8557d0bb0eb8000105a696
expert,watch play play,1,1,22.0,13.0,,24,19,,Thompson-Lesion,61118e9a32395df5867ce217
expert,watch play play,1,1,22.0,13.0,,17,23,,Thompson-Naive,61118e9a32395df5867ce217
expert,watch play play,1,1,22.0,13.0,,19,19,,Thompson-Predict,61118e9a32395df5867ce217
expert,watch play play,0,0,17.0,18.0,,10,15,,Thompson-Lesion,656964b3923e30926f806a2c
expert,watch play play,0,0,17.0,18.0,,15,12,,Thompson-Naive,656964b3923e30926f806a2c
expert,watch play play,0,0,17.0,18.0,,16,17,,Thompson-Predict,656964b3923e30926f806a2c
no teacher,play play play,1,1,17.0,20.0,20.0,9.0,15.0,17.0,Thompson-Lesion,61412d50c1d83f94e448c0f3
no teacher,play play play,1,1,17.0,20.0,20.0,10.0,11.0,16.0,Thompson-Naive,61412d50c1d83f94e448c0f3
no teacher,play play play,1,1,17.0,20.0,20.0,5.0,9.0,11.0,Thompson-Predict,61412d50c1d83f94e448c0f3
expert,play watch play,0,0,14.0,22.0,,13.0,21.0,,Thompson-Lesion,616d6463aa6ae2ee832b3804
expert,play watch play,0,0,14.0,22.0,,17.0,15.0,,Thompson-Naive,616d6463aa6ae2ee832b3804
expert,play watch play,0,0,14.0,22.0,,19.0,19.0,,Thompson-Predict,616d6463aa6ae2ee832b3804
expert,watch play play,0,0,20.0,20.0,,20,22,,Thompson-Lesion,60d912ea081d95b4faa5ba51
expert,watch play play,0,0,20.0,20.0,,17,20,,Thompson-Naive,60d912ea081d95b4faa5ba51
expert,watch play play,0,0,20.0,20.0,,21,21,,Thompson-Predict,60d912ea081d95b4faa5ba51
novice,watch play play,0,0,18.0,19.0,,9,15,,Thompson-Lesion,60b6b4d12a9854d3385bc768
novice,watch play play,0,0,18.0,19.0,,14,13,,Thompson-Naive,60b6b4d12a9854d3385bc768
novice,watch play play,0,0,18.0,19.0,,9,11,,Thompson-Predict,60b6b4d12a9854d3385bc768
no teacher,play play play,1,1,16.0,7.0,9.0,12.0,14.0,17.0,Thompson-Lesion,5d2a5458c0898e001ab08f65
no teacher,play play play,1,1,16.0,7.0,9.0,19.0,18.0,17.0,Thompson-Naive,5d2a5458c0898e001ab08f65
no teacher,play play play,1,1,16.0,7.0,9.0,12.0,14.0,12.0,Thompson-Predict,5d2a5458c0898e001ab08f65
novice,watch play play,0,0,14.0,11.0,,14,12,,Thompson-Lesion,5bbafad7736db000016d8600
novice,watch play play,0,0,14.0,11.0,,10,14,,Thompson-Naive,5bbafad7736db000016d8600
novice,watch play play,0,0,14.0,11.0,,12,8,,Thompson-Predict,5bbafad7736db000016d8600
expert,play watch play,0,0,7.0,23.0,,10.0,18.0,,Thompson-Lesion,5b8557d0bb0eb8000105a696
expert,play watch play,0,0,7.0,23.0,,12.0,13.0,,Thompson-Naive,5b8557d0bb0eb8000105a696
expert,play watch play,0,0,7.0,23.0,,10.0,17.0,,Thompson-Predict,5b8557d0bb0eb8000105a696
novice,watch play play,0,0,10.0,16.0,,8,12,,Thompson-Lesion,60e792f25e9ab875f9605cf5
novice,watch play play,0,0,10.0,16.0,,17,21,,Thompson-Naive,60e792f25e9ab875f9605cf5
novice,watch play play,0,0,10.0,16.0,,14,6,,Thompson-Predict,60e792f25e9ab875f9605cf5
novice,watch play play,1,1,23.0,23.0,,10,17,,Thompson-Lesion,5d1555fe628de0001966c2fa
novice,watch play play,1,1,23.0,23.0,,13,13,,Thompson-Naive,5d1555fe628de0001966c2fa
novice,watch play play,1,1,23.0,23.0,,20,20,,Thompson-Predict,5d1555fe628de0001966c2fa
expert,play watch play,1,1,17.0,19.0,,14.0,16.0,,Thompson-Lesion,568e7144e3ef9e000da20149
expert,play watch play,1,1,17.0,19.0,,8.0,16.0,,Thompson-Naive,568e7144e3ef9e000da20149
expert,play watch play,1,1,17.0,19.0,,13.0,16.0,,Thompson-Predict,568e7144e3ef9e000da20149
no teacher,play play play,0,0,17.0,10.0,14.0,12.0,18.0,18.0,Thompson-Lesion,605e6f4f35800996a22ac0ab
no teacher,play play play,0,0,17.0,10.0,14.0,17.0,18.0,22.0,Thompson-Naive,605e6f4f35800996a22ac0ab
no teacher,play play play,0,0,17.0,10.0,14.0,12.0,14.0,22.0,Thompson-Predict,605e6f4f35800996a22ac0ab
novice,play watch play,0,0,8.0,13.0,,17.0,13.0,,Thompson-Lesion,5df2be706e8aab1d1eb46feb
novice,play watch play,0,0,8.0,13.0,,16.0,13.0,,Thompson-Naive,5df2be706e8aab1d1eb46feb
novice,play watch play,0,0,8.0,13.0,,11.0,7.0,,Thompson-Predict,5df2be706e8aab1d1eb46feb
no teacher,play play play,2,0,12.0,21.0,20.0,14.0,13.0,15.0,Thompson-Lesion,5e1d70edd727e90dea42d137
no teacher,play play play,2,0,12.0,21.0,20.0,9.0,11.0,17.0,Thompson-Naive,5e1d70edd727e90dea42d137
no teacher,play play play,2,0,12.0,21.0,20.0,9.0,9.0,12.0,Thompson-Predict,5e1d70edd727e90dea42d137
expert,watch play play,1,1,13.0,16.0,,16,20,,Thompson-Lesion,5f8486766d8e7b0f17df0206
expert,watch play play,1,1,13.0,16.0,,12,14,,Thompson-Naive,5f8486766d8e7b0f17df0206
expert,watch play play,1,1,13.0,16.0,,19,19,,Thompson-Predict,5f8486766d8e7b0f17df0206
no teacher,play play play,1,1,9.0,11.0,12.0,10.0,20.0,12.0,Thompson-Lesion,5f0151a9e5751c2a5313c45e
no teacher,play play play,1,1,9.0,11.0,12.0,8.0,12.0,18.0,Thompson-Naive,5f0151a9e5751c2a5313c45e
no teacher,play play play,1,1,9.0,11.0,12.0,11.0,14.0,16.0,Thompson-Predict,5f0151a9e5751c2a5313c45e
novice,play watch play,1,1,12.0,11.0,,11.0,15.0,,Thompson-Lesion,5e62f732321c5c08db54cca2
novice,play watch play,1,1,12.0,11.0,,14.0,18.0,,Thompson-Naive,5e62f732321c5c08db54cca2
novice,play watch play,1,1,12.0,11.0,,16.0,16.0,,Thompson-Predict,5e62f732321c5c08db54cca2
expert,watch play play,1,1,18.0,21.0,,17,20,,Thompson-Lesion,5b564680ed90280001510d9a
expert,watch play play,1,1,18.0,21.0,,17,13,,Thompson-Naive,5b564680ed90280001510d9a
expert,watch play play,1,1,18.0,21.0,,14,22,,Thompson-Predict,5b564680ed90280001510d9a
novice,play watch play,1,1,11.0,19.0,,17.0,18.0,,Thompson-Lesion,63d7fb6ee49281f6c41d6630
novice,play watch play,1,1,11.0,19.0,,15.0,21.0,,Thompson-Naive,63d7fb6ee49281f6c41d6630
novice,play watch play,1,1,11.0,19.0,,13.0,14.0,,Thompson-Predict,63d7fb6ee49281f6c41d6630
no teacher,play play play,3,0,5.0,14.0,14.0,14.0,13.0,16.0,Thompson-Lesion,657aacdf40daebdb26cb3b94
no teacher,play play play,3,0,5.0,14.0,14.0,10.0,17.0,20.0,Thompson-Naive,657aacdf40daebdb26cb3b94
no teacher,play play play,3,0,5.0,14.0,14.0,13.0,17.0,21.0,Thompson-Predict,657aacdf40daebdb26cb3b94
expert,play watch play,0,0,14.0,20.0,,8.0,19.0,,Thompson-Lesion,568e7144e3ef9e000da20149
expert,play watch play,0,0,14.0,20.0,,15.0,13.0,,Thompson-Naive,568e7144e3ef9e000da20149
expert,play watch play,0,0,14.0,20.0,,16.0,14.0,,Thompson-Predict,568e7144e3ef9e000da20149
novice,watch play play,1,1,11.0,15.0,,12,11,,Thompson-Lesion,5ac6e74f9534ba0001c756d5
novice,watch play play,1,1,11.0,15.0,,15,18,,Thompson-Naive,5ac6e74f9534ba0001c756d5
novice,watch play play,1,1,11.0,15.0,,11,14,,Thompson-Predict,5ac6e74f9534ba0001c756d5
expert,play watch play,0,0,12.0,19.0,,13.0,19.0,,Thompson-Lesion,5bd283469afb5b00015bdd5a
expert,play watch play,0,0,12.0,19.0,,7.0,16.0,,Thompson-Naive,5bd283469afb5b00015bdd5a
expert,play watch play,0,0,12.0,19.0,,12.0,20.0,,Thompson-Predict,5bd283469afb5b00015bdd5a
expert,watch play play,1,1,19.0,14.0,,18,19,,Thompson-Lesion,5781c15381f331000139a89e
expert,watch play play,1,1,19.0,14.0,,14,20,,Thompson-Naive,5781c15381f331000139a89e
expert,watch play play,1,1,19.0,14.0,,14,13,,Thompson-Predict,5781c15381f331000139a89e
novice,watch play play,1,1,19.0,11.0,,12,17,,Thompson-Lesion,5be4c8d0d4079000014c0998
novice,watch play play,1,1,19.0,11.0,,20,19,,Thompson-Naive,5be4c8d0d4079000014c0998
novice,watch play play,1,1,19.0,11.0,,12,11,,Thompson-Predict,5be4c8d0d4079000014c0998
novice,play watch play,0,0,10.0,12.0,,13.0,8.0,,Thompson-Lesion,59c3289b8e6ea10001f7b926
novice,play watch play,0,0,10.0,12.0,,13.0,11.0,,Thompson-Naive,59c3289b8e6ea10001f7b926
novice,play watch play,0,0,10.0,12.0,,8.0,12.0,,Thompson-Predict,59c3289b8e6ea10001f7b926
novice,watch play play,0,0,19.0,14.0,,8,14,,Thompson-Lesion,5e0e1b8800a6bf000a694f79
novice,watch play play,0,0,19.0,14.0,,19,15,,Thompson-Naive,5e0e1b8800a6bf000a694f79
novice,watch play play,0,0,19.0,14.0,,16,17,,Thompson-Predict,5e0e1b8800a6bf000a694f79
no teacher,play play play,0,1,19.0,20.0,21.0,14.0,15.0,22.0,Thompson-Lesion,5de33ff0cc246f3633dc01d2
no teacher,play play play,0,1,19.0,20.0,21.0,14.0,13.0,15.0,Thompson-Naive,5de33ff0cc246f3633dc01d2
no teacher,play play play,0,1,19.0,20.0,21.0,8.0,13.0,19.0,Thompson-Predict,5de33ff0cc246f3633dc01d2
expert,play watch play,1,1,10.0,19.0,,13.0,21.0,,Thompson-Lesion,5ab7c19e1667e40001d7cd93
expert,play watch play,1,1,10.0,19.0,,5.0,18.0,,Thompson-Naive,5ab7c19e1667e40001d7cd93
expert,play watch play,1,1,10.0,19.0,,8.0,18.0,,Thompson-Predict,5ab7c19e1667e40001d7cd93
no teacher,play play play,1,1,15.0,14.0,13.0,11.0,12.0,19.0,Thompson-Lesion,58c518d7b101a70001293900
no teacher,play play play,1,1,15.0,14.0,13.0,10.0,13.0,14.0,Thompson-Naive,58c518d7b101a70001293900
no teacher,play play play,1,1,15.0,14.0,13.0,8.0,13.0,16.0,Thompson-Predict,58c518d7b101a70001293900
novice,play watch play,0,0,11.0,19.0,,11.0,13.0,,Thompson-Lesion,606575435e519decf2dd36e3
novice,play watch play,0,0,11.0,19.0,,18.0,17.0,,Thompson-Naive,606575435e519decf2dd36e3
novice,play watch play,0,0,11.0,19.0,,12.0,11.0,,Thompson-Predict,606575435e519decf2dd36e3
expert,play watch play,1,1,9.0,22.0,,9.0,16.0,,Thompson-Lesion,577d11f88b3e2300016d74a0
expert,play watch play,1,1,9.0,22.0,,10.0,16.0,,Thompson-Naive,577d11f88b3e2300016d74a0
expert,play watch play,1,1,9.0,22.0,,15.0,17.0,,Thompson-Predict,577d11f88b3e2300016d74a0
expert,watch play play,0,0,21.0,19.0,,14,13,,Thompson-Lesion,5635d988dc62e5000bcb3eb2
expert,watch play play,0,0,21.0,19.0,,10,16,,Thompson-Naive,5635d988dc62e5000bcb3eb2
expert,watch play play,0,0,21.0,19.0,,18,16,,Thompson-Predict,5635d988dc62e5000bcb3eb2
expert,play watch play,1,1,8.0,23.0,,11.0,15.0,,Thompson-Lesion,60fe0460e678d2576844fe5e
expert,play watch play,1,1,8.0,23.0,,12.0,16.0,,Thompson-Naive,60fe0460e678d2576844fe5e
expert,play watch play,1,1,8.0,23.0,,12.0,20.0,,Thompson-Predict,60fe0460e678d2576844fe5e
expert,play watch play,0,0,8.0,21.0,,14.0,13.0,,Thompson-Lesion,63e53f1ad00dc1f9f2c3cc36
expert,play watch play,0,0,8.0,21.0,,14.0,18.0,,Thompson-Naive,63e53f1ad00dc1f9f2c3cc36
expert,play watch play,0,0,8.0,21.0,,12.0,15.0,,Thompson-Predict,63e53f1ad00dc1f9f2c3cc36
expert,play watch play,0,0,21.0,13.0,,7.0,21.0,,Thompson-Lesion,628524300be4422b915b32a9
expert,play watch play,0,0,21.0,13.0,,12.0,18.0,,Thompson-Naive,628524300be4422b915b32a9
expert,play watch play,0,0,21.0,13.0,,13.0,20.0,,Thompson-Predict,628524300be4422b915b32a9
expert,play watch play,0,0,13.0,22.0,,13.0,22.0,,Thompson-Lesion,5b33034d975e260001e981c9
expert,play watch play,0,0,13.0,22.0,,10.0,19.0,,Thompson-Naive,5b33034d975e260001e981c9
expert,play watch play,0,0,13.0,22.0,,17.0,21.0,,Thompson-Predict,5b33034d975e260001e981c9
novice,watch play play,1,1,21.0,20.0,,13,16,,Thompson-Lesion,63d7fb6ee49281f6c41d6630
