Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65b01f00e9ff68a8abc16dbf,545cee6dfdf99b7f9e3254ce,AWAITING REVIEW,2024-01-23T20:18:12.455000Z,2024-01-23T20:31:42.621000Z,,2024-01-23T20:31:43.089480Z,811.0,CTVM94DF,1572,"No, I have no issues seeing colours",33,Male,White,United States,United States,United States,English,No,Full-Time
65b01f956bc85fee9e938c6f,65982731eb34299993506e21,AWAITING REVIEW,2024-01-23T20:20:42.411000Z,2024-01-23T20:35:53.132000Z,,2024-01-23T20:35:53.567546Z,911.0,CTVM94DF,97,"No, I have no issues seeing colours",31,Female,White,United States,United States,United States,English,No,Full-Time
65b01fa0dcc56beb78fe5a3e,650868d5afd62c7980c24f67,AWAITING REVIEW,2024-01-23T20:20:51.395000Z,2024-01-23T20:33:20.808000Z,,2024-01-23T20:33:21.333925Z,750.0,CTVM94DF,269,"No, I have no issues seeing colours",26,Female,Asian,China,United States,United States,Chinese,No,Unemployed (and job seeking)
65b01fbf19adc96bbe428e1e,63d864bfc3bc732e26295c9c,AWAITING REVIEW,2024-01-23T20:21:27.239000Z,2024-01-23T20:36:22.010000Z,,2024-01-23T20:36:22.434040Z,895.0,CTVM94DF,2152,"No, I have no issues seeing colours",35,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
65b01ffd2bd5fba56701e6f3,5bbafad7736db000016d8600,AWAITING REVIEW,2024-01-23T20:28:28.428000Z,2024-01-23T20:38:48.087000Z,,2024-01-23T20:38:48.519159Z,620.0,CTVM94DF,1844,"No, I have no issues seeing colours",29,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
65b0200c6615e509a707f23f,5b8557d0bb0eb8000105a696,AWAITING REVIEW,2024-01-23T20:22:39.827000Z,2024-01-23T20:44:42.036000Z,,2024-01-23T20:44:42.502332Z,1323.0,CTVM94DF,243,"No, I have no issues seeing colours",28,Male,Black,United States,United States,United States,English,No,Full-Time
65b0205d301879a2d307f612,5efcaaee74e56207d16db007,AWAITING REVIEW,2024-01-23T20:24:10.228000Z,2024-01-23T20:38:10.496000Z,,2024-01-23T20:38:10.966457Z,841.0,CTVM94DF,2049,"No, I have no issues seeing colours",27,Female,White,United States,United States,United States,English,No,Other
65b0206425c47cfef804be73,5c90fd5c26e3ed0001989e17,AWAITING REVIEW,2024-01-23T20:24:06.313000Z,2024-01-23T20:37:47.966000Z,,2024-01-23T20:37:48.444267Z,822.0,CTVM94DF,1094,"No, I have no issues seeing colours",33,Female,Asian,India,United States,United States,English,No,Full-Time
65b0206bfc180af0359881e8,60fcc356256445ec7775dc39,AWAITING REVIEW,2024-01-23T20:24:16.553000Z,2024-01-23T20:39:51.504000Z,,2024-01-23T20:39:52.021436Z,935.0,CTVM94DF,427,"No, I have no issues seeing colours",24,Female,White,United States,United States,United States,English,No,Full-Time
65b020709dd119b146eb392e,56b395fa2bac74000d89c16f,AWAITING REVIEW,2024-01-23T20:24:19.451000Z,2024-01-23T20:35:18.619000Z,,2024-01-23T20:35:19.248494Z,660.0,CTVM94DF,1240,"No, I have no issues seeing colours",31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b020dd14959642c72a2b5f,611f1751f8fd84c3ba826634,AWAITING REVIEW,2024-01-23T20:26:08.707000Z,2024-01-23T20:41:41.325000Z,,2024-01-23T20:41:41.741394Z,933.0,CTVM94DF,1443,"No, I have no issues seeing colours",29,Female,White,United States,United States,United States,English,No,Full-Time
65b020f7f5c07cda1ba23fa1,63d3fbb451ad7ba5c2f30246,AWAITING REVIEW,2024-01-23T20:26:34.054000Z,2024-01-23T20:39:26.298000Z,,2024-01-23T20:39:26.886406Z,773.0,CTVM94DF,1220,"No, I have no issues seeing colours",23,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
65b0212ba14722bd52e5a105,6561f9edfd7315a2f858adff,AWAITING REVIEW,2024-01-23T20:27:27.625000Z,2024-01-23T20:41:05.239000Z,,2024-01-23T20:41:05.698305Z,818.0,CTVM94DF,204,"No, I have no issues seeing colours",23,Female,Black,United States,United States,United States,English,No,Other
65b0212c61951222bb5f66ed,5df416a57bf5722f9a501255,AWAITING REVIEW,2024-01-23T20:27:26.769000Z,2024-01-23T20:47:48.638000Z,,2024-01-23T20:47:49.144881Z,1222.0,CTVM94DF,2804,"No, I have no issues seeing colours",37,Male,White,United States,United States,United States,English,No,Other
65b02133b8387df54025845f,63d4000ba3ae5c5789db9bee,AWAITING REVIEW,2024-01-23T20:27:35.586000Z,2024-01-23T20:42:00.687000Z,,2024-01-23T20:42:01.264926Z,866.0,CTVM94DF,284,"Yes, I'm colourblind",28,Male,White,United States,United States,United States,English,No,Full-Time
65b021655c3f937702c4af4f,6400d916e410c86255a45836,AWAITING REVIEW,2024-01-23T20:28:26.312000Z,2024-01-23T20:40:49.659000Z,,2024-01-23T20:40:50.119807Z,744.0,CTVM94DF,668,"No, I have no issues seeing colours",34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65b0216d51b9e6b72c91e8cf,5f1215c24862ae13032bad4e,AWAITING REVIEW,2024-01-23T20:28:32.812000Z,2024-01-23T20:49:43.914000Z,,2024-01-23T20:49:44.315855Z,1272.0,CTVM94DF,2215,"No, I have no issues seeing colours",24,Female,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
65b02172e48ec2cb4791704d,60f5f8769fc9289a9e518129,AWAITING REVIEW,2024-01-23T20:28:37.785000Z,2024-01-23T20:39:40.428000Z,,2024-01-23T20:39:40.879861Z,663.0,CTVM94DF,3371,"No, I have no issues seeing colours",37,Female,White,United States,United States,United States,English,Yes,Full-Time
65b0217a81be9840cf46c87d,6496f162cb9494f2bd0cb495,AWAITING REVIEW,2024-01-23T20:28:44.491000Z,2024-01-23T20:43:38.082000Z,,2024-01-23T20:43:38.659249Z,894.0,CTVM94DF,93,"No, I have no issues seeing colours",27,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b021925904630598381078,6413dd7eadc09e71fa198000,AWAITING REVIEW,2024-01-23T20:29:19.253000Z,2024-01-23T20:46:27.798000Z,,2024-01-23T20:46:28.255206Z,1029.0,CTVM94DF,1981,"No, I have no issues seeing colours",39,Male,White,United States,United States,United States,English,No,Full-Time
65b021a5a94b9e1d6117939a,5ae3a41d32ef52000131a531,AWAITING REVIEW,2024-01-23T20:29:37.625000Z,2024-01-23T20:44:50.409000Z,,2024-01-23T20:44:50.947123Z,913.0,CTVM94DF,4085,"No, I have no issues seeing colours",25,Male,Black,United States,United States,United States,English,No,Full-Time
65b021d3a6abd97470e89140,60fe0460e678d2576844fe5e,AWAITING REVIEW,2024-01-23T20:31:09.416000Z,2024-01-23T20:46:28.467000Z,,2024-01-23T20:46:28.968379Z,920.0,CTVM94DF,454,"No, I have no issues seeing colours",33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b021e251b9e6b72c91e8dc,62b1ed31eaaaa61b18c69032,AWAITING REVIEW,2024-01-23T20:30:32.871000Z,2024-01-23T20:42:02.954000Z,,2024-01-23T20:42:03.581319Z,691.0,CTVM94DF,1866,"No, I have no issues seeing colours",36,Female,White,United States,United States,United States,English,No,Full-Time
65b021e3984acb926804bb27,5ad0f1934d061300011b0a4d,AWAITING REVIEW,2024-01-23T20:30:31.216000Z,2024-01-23T20:45:06.039000Z,,2024-01-23T20:45:06.534276Z,875.0,CTVM94DF,2117,"No, I have no issues seeing colours",29,Male,White,United States,United States,United States,English,No,Full-Time
65b021e32652262b3d92c6d4,63bc7645044a7d5ab6c9cb96,AWAITING REVIEW,2024-01-23T20:33:08.491000Z,2024-01-23T20:58:03.415000Z,,2024-01-23T20:58:03.970913Z,1495.0,CTVM94DF,1253,"No, I have no issues seeing colours",35,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b021eb598f1eead32a27ec,5e147a28de8da6a8f013acf6,AWAITING REVIEW,2024-01-23T20:30:57.805000Z,2024-01-23T20:42:23.748000Z,,2024-01-23T20:42:24.361463Z,686.0,CTVM94DF,987,"No, I have no issues seeing colours",36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b022071729c69ac9c28c93,6020606d7b0258677b881f63,AWAITING REVIEW,2024-01-23T20:31:10.006000Z,2024-01-23T20:44:26.270000Z,,2024-01-23T20:44:26.827454Z,797.0,CTVM94DF,1074,"No, I have no issues seeing colours",25,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65b022292c257ef59dec27a8,633c7424294f7a26710ca395,AWAITING REVIEW,2024-01-23T20:31:41.503000Z,2024-01-23T20:43:32.627000Z,,2024-01-23T20:43:33.090573Z,712.0,CTVM94DF,2863,"No, I have no issues seeing colours",39,Male,White,United States,United States,United States,English,No,Full-Time
65b02243a1b58c1a57ea40d1,60478d729944c5000b231088,AWAITING REVIEW,2024-01-23T20:32:07.992000Z,2024-01-23T21:01:38.088000Z,,2024-01-23T21:01:38.722927Z,1771.0,CTVM94DF,1485,"No, I have no issues seeing colours",34,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
65b0226a6f6f778b76ab0e72,60e792f25e9ab875f9605cf5,AWAITING REVIEW,2024-01-23T20:32:48.316000Z,2024-01-23T20:43:15.322000Z,,2024-01-23T20:43:15.955462Z,628.0,CTVM94DF,2597,"No, I have no issues seeing colours",39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65b022935c3f937702c4af9d,5c35ad4bdb7cf60001204af9,AWAITING REVIEW,2024-01-23T20:33:28.209000Z,2024-01-23T20:57:15.840000Z,,2024-01-23T20:57:16.338773Z,1428.0,CTVM94DF,768,"No, I have no issues seeing colours",28,Male,White,United States,United States,United States,English,No,Part-Time
65b022a0984acb926804bb4b,63ea7487c993eddd00c8ab47,AWAITING REVIEW,2024-01-23T20:33:39.553000Z,2024-01-23T21:03:21.021000Z,,2024-01-23T21:03:21.521529Z,1782.0,CTVM94DF,433,"No, I have no issues seeing colours",24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b022c1478289b4a25f63a7,60fda82c6d2d7be651a8e4b7,AWAITING REVIEW,2024-01-23T20:34:12.641000Z,2024-01-23T20:45:14.968000Z,,2024-01-23T20:45:15.467229Z,663.0,CTVM94DF,2496,"No, I have no issues seeing colours",21,Female,Mixed,United States,United States,United States,English,Yes,Other
65b022f753235b15e2c28747,5e1d70edd727e90dea42d137,AWAITING REVIEW,2024-01-23T20:35:08.062000Z,2024-01-23T20:46:04.169000Z,,2024-01-23T20:46:04.655772Z,657.0,CTVM94DF,1022,"No, I have no issues seeing colours",23,Female,White,United States,United States,United States,English,No,Full-Time
65b02325182dd435d60ecba0,5cb489ff0cd1ed0017465d19,AWAITING REVIEW,2024-01-23T20:35:57.450000Z,2024-01-23T20:48:10.417000Z,,2024-01-23T20:48:10.906625Z,733.0,CTVM94DF,5127,"No, I have no issues seeing colours",34,Male,White,United States,United States,United States,English,No,Full-Time
65b023406615e509a707f2f8,5ab7c19e1667e40001d7cd93,AWAITING REVIEW,2024-01-23T20:36:21.693000Z,2024-01-23T20:58:16.486000Z,,2024-01-23T20:58:16.968163Z,1315.0,CTVM94DF,1272,"No, I have no issues seeing colours",31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65b0237855547462931795fe,632be0bcdec1f14421c64dc2,AWAITING REVIEW,2024-01-23T20:37:16.379000Z,2024-01-23T20:50:33.053000Z,,2024-01-23T20:50:33.748956Z,797.0,CTVM94DF,1611,"No, I have no issues seeing colours",35,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65b0237b2bd5fba56701e7cb,5bf4d3e01a71ac0001208301,AWAITING REVIEW,2024-01-23T20:37:18.578000Z,2024-01-23T20:49:17.399000Z,,2024-01-23T20:49:17.897052Z,719.0,CTVM94DF,3,"No, I have no issues seeing colours",38,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b0238d082fd0c7fde32b59,60d912ea081d95b4faa5ba51,AWAITING REVIEW,2024-01-23T20:37:37.709000Z,2024-01-23T20:54:34.153000Z,,2024-01-23T20:54:34.707233Z,1017.0,CTVM94DF,1047,"No, I have no issues seeing colours",39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65b023c3f06f4efc59526a0c,612274842d4805447451f87b,AWAITING REVIEW,2024-01-23T20:38:34.639000Z,2024-01-23T20:51:56.933000Z,,2024-01-23T20:51:57.447944Z,803.0,CTVM94DF,1305,"No, I have no issues seeing colours",29,Female,Black,United States,United States,United States,English,Yes,Part-Time
65b023c714959642c72a2bf5,610790e286844c36e02f906c,AWAITING REVIEW,2024-01-23T20:38:36.895000Z,2024-01-23T20:48:22.477000Z,,2024-01-23T20:48:22.916888Z,586.0,CTVM94DF,3711,"No, I have no issues seeing colours",29,Female,White,United States,United States,United States,English,No,Full-Time
65b023c9949ae9eb93290282,5c1b9212bfd9220001a9ada0,AWAITING REVIEW,2024-01-23T20:38:36.752000Z,2024-01-23T20:59:29.218000Z,,2024-01-23T20:59:29.697291Z,1253.0,CTVM94DF,3353,"No, I have no issues seeing colours",32,Male,White,United States,United States,United States,English,No,Full-Time
65b023ea355d832a734420ba,615b613de1aeca77a48c4125,AWAITING REVIEW,2024-01-23T20:39:08.690000Z,2024-01-23T20:51:14.450000Z,,2024-01-23T20:51:14.840281Z,726.0,CTVM94DF,2372,"No, I have no issues seeing colours",23,Female,White,United States,United States,United States,English,No,Part-Time
65b023ef2bd5fba56701e7e2,61412d50c1d83f94e448c0f3,AWAITING REVIEW,2024-01-23T20:39:14.739000Z,2024-01-23T20:52:26.122000Z,,2024-01-23T20:52:26.614802Z,792.0,CTVM94DF,1732,"No, I have no issues seeing colours",22,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
65b023f4e48ec2cb4791710f,5c48189592909000016862e7,AWAITING REVIEW,2024-01-23T20:39:22.338000Z,2024-01-23T20:52:14.952000Z,,2024-01-23T20:52:15.372222Z,773.0,CTVM94DF,1648,"No, I have no issues seeing colours",37,Female,White,United States,United States,United States,English,No,Part-Time
65b023f72f0a6ddb0808b9e8,5c44c6ea4c194d00019cea9c,AWAITING REVIEW,2024-01-23T20:39:24.619000Z,2024-01-23T20:51:23.940000Z,,2024-01-23T20:51:24.464577Z,720.0,CTVM94DF,522,"Yes, I'm colourblind",24,Male,White,United States,United States,United States,English,No,Full-Time
65b024022ed3b6f74892c6c6,5d092069fb1a540001dd5028,AWAITING REVIEW,2024-01-23T20:39:34.295000Z,2024-01-23T20:54:59.877000Z,,2024-01-23T20:55:00.364428Z,926.0,CTVM94DF,2557,"No, I have no issues seeing colours",29,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
